"rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","task","item_id","condition","segment_text","segment_index","segment_role","is_critical","list","correct_answer","question_text","participant_answer","correct"
"2510","
        <div class=""comprehension-question"">
          <p>Did Anna drive to the city centre?</p>
          <p style=""font-size: 16px; color: #666;""><strong>F</strong> = Yes &nbsp;&nbsp;&nbsp; <strong>J</strong> = No</p>
        </div>
      ","f","html-keyboard-response","16","2.1.0","52706","comprehension","p2","","","","","","","no","Did Anna drive to the city centre?","yes","false"
"1180","<p class=""segment-display"">The children played</p>"," ","html-keyboard-response","17","2.1.0","53887","reading","p3","practice","The children played","0","other","false","2","","","",""
"921","<p class=""segment-display"">in the garden</p>"," ","html-keyboard-response","18","2.1.0","54809","reading","p3","practice","in the garden","1","other","false","2","","","",""
"884","<p class=""segment-display"">until it got dark.</p>"," ","html-keyboard-response","19","2.1.0","55693","reading","p3","practice","until it got dark.","2","other","false","2","","","",""
"null","","null","html-keyboard-response","20","2.1.0","56695","sentence_break","p3","","","","","","","","","",""
"366","<p class=""segment-display"">Their parents called them inside</p>"," ","html-keyboard-response","21","2.1.0","57061","reading","p3","practice","Their parents called them inside","4","other","false","2","","","",""
"872","<p class=""segment-display"">for dinner</p>"," ","html-keyboard-response","22","2.1.0","57934","reading","p3","practice","for dinner","5","other","false","2","","","",""
"674","<p class=""segment-display"">and they came running.</p>"," ","html-keyboard-response","23","2.1.0","58608","reading","p3","practice","and they came running.","6","other","false","2","","","",""
"9246","
    <div class=""instructions"">
      <h2>End of Practice</h2>
      <p>The practice is over. The experiment will now begin.</p>
      <p>Remember: press <strong>Space</strong> to advance segments, <strong>F</strong> for Yes, <strong>J</strong> for No on questions.</p>
      <p>Press <strong>Space</strong> to start the experiment.</p>
    </div>
  "," ","html-keyboard-response","24","2.1.0","67854","","","","","","","","","","","",""
"1486","<p class=""segment-display"">The courier returned to the depot</p>"," ","html-keyboard-response","25","2.1.0","69341","reading","7","lower_bound_some","The courier returned to the depot","0","other","true","2","","","",""
"1001","<p class=""segment-display"">looking quite exhausted</p>"," ","html-keyboard-response","26","2.1.0","70342","reading","7","lower_bound_some","looking quite exhausted","1","other","true","2","","","",""
"1055","<p class=""segment-display"">after a long day of work.</p>"," ","html-keyboard-response","27","2.1.0","71398","reading","7","lower_bound_some","after a long day of work.","2","other","true","2","","","",""
"null","","null","html-keyboard-response","28","2.1.0","72399","sentence_break","7","","","","","","","","","",""
"730","<p class=""segment-display"">He explained</p>"," ","html-keyboard-response","29","2.1.0","73129","reading","7","lower_bound_some","He explained","4","other","true","2","","","",""
"750","<p class=""segment-display"">that he had delivered</p>"," ","html-keyboard-response","30","2.1.0","73879","reading","7","lower_bound_some","that he had delivered","5","other","true","2","","","",""
"873","<p class=""segment-display"">some of the packages.</p>"," ","html-keyboard-response","31","2.1.0","74752","reading","7","lower_bound_some","some of the packages.","6","trigger","true","2","","","",""
"null","","null","html-keyboard-response","32","2.1.0","75754","sentence_break","7","","","","","","","","","",""
"600","<p class=""segment-display"">The rest</p>"," ","html-keyboard-response","33","2.1.0","76355","reading","7","lower_bound_some","The rest","8","target","true","2","","","",""
"637","<p class=""segment-display"">would be delivered</p>"," ","html-keyboard-response","34","2.1.0","76992","reading","7","lower_bound_some","would be delivered","9","post_target","true","2","","","",""
"646","<p class=""segment-display"">the following morning.</p>"," ","html-keyboard-response","35","2.1.0","77638","reading","7","lower_bound_some","the following morning.","10","other","true","2","","","",""
"2087","
        <div class=""comprehension-question"">
          <p>Was the courier delivering letters?</p>
          <p style=""font-size: 16px; color: #666;""><strong>F</strong> = Yes &nbsp;&nbsp;&nbsp; <strong>J</strong> = No</p>
        </div>
      ","j","html-keyboard-response","36","2.1.0","79725","comprehension","7","","","","","","","no","Was the courier delivering letters?","no","true"
"1140","<p class=""segment-display"">The librarian noticed</p>"," ","html-keyboard-response","37","2.1.0","80865","reading","f5","filler","The librarian noticed","0","other","false","2","","","",""
"538","<p class=""segment-display"">that several books</p>"," ","html-keyboard-response","38","2.1.0","81404","reading","f5","filler","that several books","1","other","false","2","","","",""
"708","<p class=""segment-display"">were missing from the shelves.</p>"," ","html-keyboard-response","39","2.1.0","82112","reading","f5","filler","were missing from the shelves.","2","other","false","2","","","",""
"null","","null","html-keyboard-response","40","2.1.0","83114","sentence_break","f5","","","","","","","","","",""
"454","<p class=""segment-display"">She checked the records</p>"," ","html-keyboard-response","41","2.1.0","83570","reading","f5","filler","She checked the records","4","other","false","2","","","",""
"591","<p class=""segment-display"">and found that they had been</p>"," ","html-keyboard-response","42","2.1.0","84162","reading","f5","filler","and found that they had been","5","other","false","2","","","",""
"666","<p class=""segment-display"">borrowed last week.</p>"," ","html-keyboard-response","43","2.1.0","84828","reading","f5","filler","borrowed last week.","6","other","false","2","","","",""
"1259","<p class=""segment-display"">The plumber was called</p>"," ","html-keyboard-response","44","2.1.0","86087","reading","f23","filler","The plumber was called","0","other","false","2","","","",""
"688","<p class=""segment-display"">to fix a leaking pipe</p>"," ","html-keyboard-response","45","2.1.0","86776","reading","f23","filler","to fix a leaking pipe","1","other","false","2","","","",""
"642","<p class=""segment-display"">in the basement.</p>"," ","html-keyboard-response","46","2.1.0","87418","reading","f23","filler","in the basement.","2","other","false","2","","","",""
"null","","null","html-keyboard-response","47","2.1.0","88420","sentence_break","f23","","","","","","","","","",""
"544","<p class=""segment-display"">He replaced the old fitting</p>"," ","html-keyboard-response","48","2.1.0","88964","reading","f23","filler","He replaced the old fitting","4","other","false","2","","","",""
"726","<p class=""segment-display"">with a new copper joint</p>"," ","html-keyboard-response","49","2.1.0","89691","reading","f23","filler","with a new copper joint","5","other","false","2","","","",""
"656","<p class=""segment-display"">and tested the pressure.</p>"," ","html-keyboard-response","50","2.1.0","90347","reading","f23","filler","and tested the pressure.","6","other","false","2","","","",""
"1319","<p class=""segment-display"">The professor assigned</p>"," ","html-keyboard-response","51","2.1.0","91666","reading","f11","filler","The professor assigned","0","other","false","2","","","",""
"747","<p class=""segment-display"">a challenging essay topic</p>"," ","html-keyboard-response","52","2.1.0","92413","reading","f11","filler","a challenging essay topic","1","other","false","2","","","",""
"757","<p class=""segment-display"">for the final exam.</p>"," ","html-keyboard-response","53","2.1.0","93170","reading","f11","filler","for the final exam.","2","other","false","2","","","",""
"null","","null","html-keyboard-response","54","2.1.0","94172","sentence_break","f11","","","","","","","","","",""
"570","<p class=""segment-display"">The students spent the weekend</p>"," ","html-keyboard-response","55","2.1.0","94742","reading","f11","filler","The students spent the weekend","4","other","false","2","","","",""
"643","<p class=""segment-display"">researching and writing</p>"," ","html-keyboard-response","56","2.1.0","95385","reading","f11","filler","researching and writing","5","other","false","2","","","",""
"703","<p class=""segment-display"">their arguments carefully.</p>"," ","html-keyboard-response","57","2.1.0","96088","reading","f11","filler","their arguments carefully.","6","other","false","2","","","",""
"771","<p class=""segment-display"">The photographer set up</p>"," ","html-keyboard-response","58","2.1.0","96860","reading","f28","filler","The photographer set up","0","other","false","2","","","",""
"852","<p class=""segment-display"">her equipment on the hilltop</p>"," ","html-keyboard-response","59","2.1.0","97712","reading","f28","filler","her equipment on the hilltop","1","other","false","2","","","",""
"852","<p class=""segment-display"">just before dawn.</p>"," ","html-keyboard-response","60","2.1.0","98564","reading","f28","filler","just before dawn.","2","other","false","2","","","",""
"null","","null","html-keyboard-response","61","2.1.0","99566","sentence_break","f28","","","","","","","","","",""
"515","<p class=""segment-display"">She waited patiently</p>"," ","html-keyboard-response","62","2.1.0","100081","reading","f28","filler","She waited patiently","4","other","false","2","","","",""
"714","<p class=""segment-display"">and captured a stunning image</p>"," ","html-keyboard-response","63","2.1.0","100795","reading","f28","filler","and captured a stunning image","5","other","false","2","","","",""
"664","<p class=""segment-display"">of the sunrise over the valley.</p>"," ","html-keyboard-response","64","2.1.0","101459","reading","f28","filler","of the sunrise over the valley.","6","other","false","2","","","",""
"1047","<p class=""segment-display"">David practiced the piano</p>"," ","html-keyboard-response","65","2.1.0","102506","reading","f9","filler","David practiced the piano","0","other","false","2","","","",""
"585","<p class=""segment-display"">for three hours every day.</p>"," ","html-keyboard-response","66","2.1.0","103091","reading","f9","filler","for three hours every day.","1","other","false","2","","","",""
"null","","null","html-keyboard-response","67","2.1.0","104092","sentence_break","f9","","","","","","","","","",""
"510","<p class=""segment-display"">His dedication paid off</p>"," ","html-keyboard-response","68","2.1.0","104602","reading","f9","filler","His dedication paid off","3","other","false","2","","","",""
"710","<p class=""segment-display"">when he won first place</p>"," ","html-keyboard-response","69","2.1.0","105312","reading","f9","filler","when he won first place","4","other","false","2","","","",""
"739","<p class=""segment-display"">in the regional competition.</p>"," ","html-keyboard-response","70","2.1.0","106052","reading","f9","filler","in the regional competition.","5","other","false","2","","","",""
"1003","<p class=""segment-display"">The cleaner was taking a short break</p>"," ","html-keyboard-response","71","2.1.0","107055","reading","13","lower_bound_some","The cleaner was taking a short break","0","other","true","2","","","",""
"620","<p class=""segment-display"">in the staff room</p>"," ","html-keyboard-response","72","2.1.0","107676","reading","13","lower_bound_some","in the staff room","1","other","true","2","","","",""
"632","<p class=""segment-display"">after a busy morning.</p>"," ","html-keyboard-response","73","2.1.0","108308","reading","13","lower_bound_some","after a busy morning.","2","other","true","2","","","",""
"null","","null","html-keyboard-response","74","2.1.0","109310","sentence_break","13","","","","","","","","","",""
"431","<p class=""segment-display"">She reported</p>"," ","html-keyboard-response","75","2.1.0","109742","reading","13","lower_bound_some","She reported","4","other","true","2","","","",""
"613","<p class=""segment-display"">that she had cleaned</p>"," ","html-keyboard-response","76","2.1.0","110356","reading","13","lower_bound_some","that she had cleaned","5","other","true","2","","","",""
"704","<p class=""segment-display"">some of the rooms.</p>"," ","html-keyboard-response","77","2.1.0","111060","reading","13","lower_bound_some","some of the rooms.","6","trigger","true","2","","","",""
"null","","null","html-keyboard-response","78","2.1.0","112062","sentence_break","13","","","","","","","","","",""
"499","<p class=""segment-display"">The rest</p>"," ","html-keyboard-response","79","2.1.0","112561","reading","13","lower_bound_some","The rest","8","target","true","2","","","",""
"576","<p class=""segment-display"">were still occupied</p>"," ","html-keyboard-response","80","2.1.0","113138","reading","13","lower_bound_some","were still occupied","9","post_target","true","2","","","",""
"552","<p class=""segment-display"">by late checkout guests.</p>"," ","html-keyboard-response","81","2.1.0","113690","reading","13","lower_bound_some","by late checkout guests.","10","other","true","2","","","",""
"753","<p class=""segment-display"">The swimmer dove</p>"," ","html-keyboard-response","82","2.1.0","114443","reading","f25","filler","The swimmer dove","0","other","false","2","","","",""
"586","<p class=""segment-display"">into the pool</p>"," ","html-keyboard-response","83","2.1.0","115029","reading","f25","filler","into the pool","1","other","false","2","","","",""
"655","<p class=""segment-display"">at the sound of the whistle.</p>"," ","html-keyboard-response","84","2.1.0","115685","reading","f25","filler","at the sound of the whistle.","2","other","false","2","","","",""
"null","","null","html-keyboard-response","85","2.1.0","116687","sentence_break","f25","","","","","","","","","",""
"402","<p class=""segment-display"">She completed the lap</p>"," ","html-keyboard-response","86","2.1.0","117089","reading","f25","filler","She completed the lap","4","other","false","2","","","",""
"597","<p class=""segment-display"">in record time</p>"," ","html-keyboard-response","87","2.1.0","117686","reading","f25","filler","in record time","5","other","false","2","","","",""
"610","<p class=""segment-display"">and qualified for the finals.</p>"," ","html-keyboard-response","88","2.1.0","118296","reading","f25","filler","and qualified for the finals.","6","other","false","2","","","",""
"792","<p class=""segment-display"">Mary wanted to create</p>"," ","html-keyboard-response","89","2.1.0","119088","reading","2","upper_bound_some","Mary wanted to create","0","other","true","2","","","",""
"562","<p class=""segment-display"">a very special atmosphere</p>"," ","html-keyboard-response","90","2.1.0","119650","reading","2","upper_bound_some","a very special atmosphere","1","other","true","2","","","",""
"638","<p class=""segment-display"">and wondered whether to light</p>"," ","html-keyboard-response","91","2.1.0","120288","reading","2","upper_bound_some","and wondered whether to light","2","other","true","2","","","",""
"622","<p class=""segment-display"">all her special candles</p>"," ","html-keyboard-response","92","2.1.0","120910","reading","2","upper_bound_some","all her special candles","3","other","true","2","","","",""
"547","<p class=""segment-display"">in the dining hall or not.</p>"," ","html-keyboard-response","93","2.1.0","121458","reading","2","upper_bound_some","in the dining hall or not.","4","other","true","2","","","",""
"null","","null","html-keyboard-response","94","2.1.0","122459","sentence_break","2","","","","","","","","","",""
"854","<p class=""segment-display"">Eventually she took her decision:</p>"," ","html-keyboard-response","95","2.1.0","123313","reading","2","upper_bound_some","Eventually she took her decision:","6","other","true","2","","","",""
"1260","<p class=""segment-display"">she lit</p>"," ","html-keyboard-response","96","2.1.0","124574","reading","2","upper_bound_some","she lit","7","other","true","2","","","",""
"585","<p class=""segment-display"">some of her candles.</p>"," ","html-keyboard-response","97","2.1.0","125160","reading","2","upper_bound_some","some of her candles.","8","trigger","true","2","","","",""
"null","","null","html-keyboard-response","98","2.1.0","126161","sentence_break","2","","","","","","","","","",""
"511","<p class=""segment-display"">The others</p>"," ","html-keyboard-response","99","2.1.0","126673","reading","2","upper_bound_some","The others","10","target","true","2","","","",""
"558","<p class=""segment-display"">were left unlit</p>"," ","html-keyboard-response","100","2.1.0","127232","reading","2","upper_bound_some","were left unlit","11","post_target","true","2","","","",""
"660","<p class=""segment-display"">to create a nice atmosphere.</p>"," ","html-keyboard-response","101","2.1.0","127893","reading","2","upper_bound_some","to create a nice atmosphere.","12","other","true","2","","","",""
"1160","<p class=""segment-display"">Anna's husband was getting ready</p>"," ","html-keyboard-response","102","2.1.0","129053","reading","10","lower_bound_some","Anna's husband was getting ready","0","other","true","2","","","",""
"578","<p class=""segment-display"">for a business trip</p>"," ","html-keyboard-response","103","2.1.0","129631","reading","10","lower_bound_some","for a business trip","1","other","true","2","","","",""
"601","<p class=""segment-display"">and seemed rather busy.</p>"," ","html-keyboard-response","104","2.1.0","130233","reading","10","lower_bound_some","and seemed rather busy.","2","other","true","2","","","",""
"null","","null","html-keyboard-response","105","2.1.0","131235","sentence_break","10","","","","","","","","","",""
"654","<p class=""segment-display"">He told her</p>"," ","html-keyboard-response","106","2.1.0","131890","reading","10","lower_bound_some","He told her","4","other","true","2","","","",""
"525","<p class=""segment-display"">that he had washed</p>"," ","html-keyboard-response","107","2.1.0","132415","reading","10","lower_bound_some","that he had washed","5","other","true","2","","","",""
"617","<p class=""segment-display"">some of the shirts.</p>"," ","html-keyboard-response","108","2.1.0","133032","reading","10","lower_bound_some","some of the shirts.","6","trigger","true","2","","","",""
"null","","null","html-keyboard-response","109","2.1.0","134035","sentence_break","10","","","","","","","","","",""
"438","<p class=""segment-display"">The others</p>"," ","html-keyboard-response","110","2.1.0","134473","reading","10","lower_bound_some","The others","8","target","true","2","","","",""
"546","<p class=""segment-display"">were still hanging</p>"," ","html-keyboard-response","111","2.1.0","135019","reading","10","lower_bound_some","were still hanging","9","post_target","true","2","","","",""
"501","<p class=""segment-display"">in the wardrobe.</p>"," ","html-keyboard-response","112","2.1.0","135520","reading","10","lower_bound_some","in the wardrobe.","10","other","true","2","","","",""
"763","<p class=""segment-display"">The scientist published</p>"," ","html-keyboard-response","113","2.1.0","136285","reading","f36","filler","The scientist published","0","other","false","2","","","",""
"815","<p class=""segment-display"">her findings in a leading journal</p>"," ","html-keyboard-response","114","2.1.0","137101","reading","f36","filler","her findings in a leading journal","1","other","false","2","","","",""
"612","<p class=""segment-display"">after years of research.</p>"," ","html-keyboard-response","115","2.1.0","137714","reading","f36","filler","after years of research.","2","other","false","2","","","",""
"null","","null","html-keyboard-response","116","2.1.0","138716","sentence_break","f36","","","","","","","","","",""
"426","<p class=""segment-display"">The paper attracted attention</p>"," ","html-keyboard-response","117","2.1.0","139142","reading","f36","filler","The paper attracted attention","4","other","false","2","","","",""
"639","<p class=""segment-display"">from colleagues worldwide</p>"," ","html-keyboard-response","118","2.1.0","139782","reading","f36","filler","from colleagues worldwide","5","other","false","2","","","",""
"824","<p class=""segment-display"">and was widely cited.</p>"," ","html-keyboard-response","119","2.1.0","140606","reading","f36","filler","and was widely cited.","6","other","false","2","","","",""
"729","<p class=""segment-display"">The nurse checked</p>"," ","html-keyboard-response","120","2.1.0","141336","reading","f29","filler","The nurse checked","0","other","false","2","","","",""
"704","<p class=""segment-display"">the patient's temperature</p>"," ","html-keyboard-response","121","2.1.0","142040","reading","f29","filler","the patient's temperature","1","other","false","2","","","",""
"658","<p class=""segment-display"">every two hours.</p>"," ","html-keyboard-response","122","2.1.0","142698","reading","f29","filler","every two hours.","2","other","false","2","","","",""
"null","","null","html-keyboard-response","123","2.1.0","143700","sentence_break","f29","","","","","","","","","",""
"418","<p class=""segment-display"">By the evening</p>"," ","html-keyboard-response","124","2.1.0","144119","reading","f29","filler","By the evening","4","other","false","2","","","",""
"782","<p class=""segment-display"">the fever had gone down</p>"," ","html-keyboard-response","125","2.1.0","144901","reading","f29","filler","the fever had gone down","5","other","false","2","","","",""
"828","<p class=""segment-display"">and the patient was feeling much better.</p>"," ","html-keyboard-response","126","2.1.0","145729","reading","f29","filler","and the patient was feeling much better.","6","other","false","2","","","",""
"1636","
        <div class=""comprehension-question"">
          <p>Did the fever stay the same?</p>
          <p style=""font-size: 16px; color: #666;""><strong>F</strong> = Yes &nbsp;&nbsp;&nbsp; <strong>J</strong> = No</p>
        </div>
      ","j","html-keyboard-response","127","2.1.0","147366","comprehension","f29","","","","","","","no","Did the fever stay the same?","no","true"
"586","<p class=""segment-display"">The chef prepared</p>"," ","html-keyboard-response","128","2.1.0","147952","reading","f19","filler","The chef prepared","0","other","false","2","","","",""
"590","<p class=""segment-display"">an elaborate five-course meal</p>"," ","html-keyboard-response","129","2.1.0","148543","reading","f19","filler","an elaborate five-course meal","1","other","false","2","","","",""
"581","<p class=""segment-display"">for the anniversary dinner.</p>"," ","html-keyboard-response","130","2.1.0","149124","reading","f19","filler","for the anniversary dinner.","2","other","false","2","","","",""
"null","","null","html-keyboard-response","131","2.1.0","150126","sentence_break","f19","","","","","","","","","",""
"286","<p class=""segment-display"">The guests were impressed</p>"," ","html-keyboard-response","132","2.1.0","150412","reading","f19","filler","The guests were impressed","4","other","false","2","","","",""
"595","<p class=""segment-display"">by the quality of the food</p>"," ","html-keyboard-response","133","2.1.0","151007","reading","f19","filler","by the quality of the food","5","other","false","2","","","",""
"566","<p class=""segment-display"">and the beautiful presentation.</p>"," ","html-keyboard-response","134","2.1.0","151574","reading","f19","filler","and the beautiful presentation.","6","other","false","2","","","",""
"1660","
        <div class=""comprehension-question"">
          <p>Was the meal prepared for a birthday?</p>
          <p style=""font-size: 16px; color: #666;""><strong>F</strong> = Yes &nbsp;&nbsp;&nbsp; <strong>J</strong> = No</p>
        </div>
      ","j","html-keyboard-response","135","2.1.0","153234","comprehension","f19","","","","","","","no","Was the meal prepared for a birthday?","no","true"
"674","<p class=""segment-display"">Peter forgot</p>"," ","html-keyboard-response","136","2.1.0","153909","reading","f27","filler","Peter forgot","0","other","false","2","","","",""
"582","<p class=""segment-display"">to set his alarm</p>"," ","html-keyboard-response","137","2.1.0","154491","reading","f27","filler","to set his alarm","1","other","false","2","","","",""
"814","<p class=""segment-display"">the night before the interview.</p>"," ","html-keyboard-response","138","2.1.0","155305","reading","f27","filler","the night before the interview.","2","other","false","2","","","",""
"null","","null","html-keyboard-response","139","2.1.0","156307","sentence_break","f27","","","","","","","","","",""
"1047","<p class=""segment-display"">He woke up late</p>"," ","html-keyboard-response","140","2.1.0","157355","reading","f27","filler","He woke up late","4","other","false","2","","","",""
"600","<p class=""segment-display"">and had to rush</p>"," ","html-keyboard-response","141","2.1.0","157955","reading","f27","filler","and had to rush","5","other","false","2","","","",""
"567","<p class=""segment-display"">to get to the office on time.</p>"," ","html-keyboard-response","142","2.1.0","158523","reading","f27","filler","to get to the office on time.","6","other","false","2","","","",""
"679","<p class=""segment-display"">Sarah went to the supermarket</p>"," ","html-keyboard-response","143","2.1.0","159202","reading","f2","filler","Sarah went to the supermarket","0","other","false","2","","","",""
"608","<p class=""segment-display"">to buy ingredients</p>"," ","html-keyboard-response","144","2.1.0","159811","reading","f2","filler","to buy ingredients","1","other","false","2","","","",""
"592","<p class=""segment-display"">for the dinner party.</p>"," ","html-keyboard-response","145","2.1.0","160403","reading","f2","filler","for the dinner party.","2","other","false","2","","","",""
"null","","null","html-keyboard-response","146","2.1.0","161405","sentence_break","f2","","","","","","","","","",""
"325","<p class=""segment-display"">She picked up</p>"," ","html-keyboard-response","147","2.1.0","161731","reading","f2","filler","She picked up","4","other","false","2","","","",""
"546","<p class=""segment-display"">fresh vegetables</p>"," ","html-keyboard-response","148","2.1.0","162277","reading","f2","filler","fresh vegetables","5","other","false","2","","","",""
"687","<p class=""segment-display"">and a bottle of wine.</p>"," ","html-keyboard-response","149","2.1.0","162964","reading","f2","filler","and a bottle of wine.","6","other","false","2","","","",""
"903","<p class=""segment-display"">Tom decided to renovate</p>"," ","html-keyboard-response","150","2.1.0","163867","reading","f4","filler","Tom decided to renovate","0","other","false","2","","","",""
"781","<p class=""segment-display"">his kitchen over the weekend.</p>"," ","html-keyboard-response","151","2.1.0","164649","reading","f4","filler","his kitchen over the weekend.","1","other","false","2","","","",""
"null","","null","html-keyboard-response","152","2.1.0","165651","sentence_break","f4","","","","","","","","","",""
"472","<p class=""segment-display"">He painted the walls</p>"," ","html-keyboard-response","153","2.1.0","166123","reading","f4","filler","He painted the walls","3","other","false","2","","","",""
"575","<p class=""segment-display"">a bright shade of yellow</p>"," ","html-keyboard-response","154","2.1.0","166698","reading","f4","filler","a bright shade of yellow","4","other","false","2","","","",""
"534","<p class=""segment-display"">and replaced the old tiles.</p>"," ","html-keyboard-response","155","2.1.0","167233","reading","f4","filler","and replaced the old tiles.","5","other","false","2","","","",""
"630","<p class=""segment-display"">The postman delivered</p>"," ","html-keyboard-response","156","2.1.0","167863","reading","f35","filler","The postman delivered","0","other","false","2","","","",""
"540","<p class=""segment-display"">a large parcel</p>"," ","html-keyboard-response","157","2.1.0","168403","reading","f35","filler","a large parcel","1","other","false","2","","","",""
"595","<p class=""segment-display"">to the wrong address.</p>"," ","html-keyboard-response","158","2.1.0","168998","reading","f35","filler","to the wrong address.","2","other","false","2","","","",""
"null","","null","html-keyboard-response","159","2.1.0","170000","sentence_break","f35","","","","","","","","","",""
"446","<p class=""segment-display"">He realised his mistake</p>"," ","html-keyboard-response","160","2.1.0","170446","reading","f35","filler","He realised his mistake","4","other","false","2","","","",""
"519","<p class=""segment-display"">and returned later</p>"," ","html-keyboard-response","161","2.1.0","170966","reading","f35","filler","and returned later","5","other","false","2","","","",""
"551","<p class=""segment-display"">to collect it and redeliver it.</p>"," ","html-keyboard-response","162","2.1.0","171517","reading","f35","filler","to collect it and redeliver it.","6","other","false","2","","","",""
"998","<p class=""segment-display"">Mary was surprised</p>"," ","html-keyboard-response","163","2.1.0","172516","reading","1","lower_bound_some","Mary was surprised","0","other","true","2","","","",""
"744","<p class=""segment-display"">to see John</p>"," ","html-keyboard-response","164","2.1.0","173260","reading","1","lower_bound_some","to see John","1","other","true","2","","","",""
"562","<p class=""segment-display"">cleaning his apartment</p>"," ","html-keyboard-response","165","2.1.0","173823","reading","1","lower_bound_some","cleaning his apartment","2","other","true","2","","","",""
"590","<p class=""segment-display"">and she asked the reason why.</p>"," ","html-keyboard-response","166","2.1.0","174413","reading","1","lower_bound_some","and she asked the reason why.","3","other","true","2","","","",""
"null","","null","html-keyboard-response","167","2.1.0","175414","sentence_break","1","","","","","","","","","",""
"438","<p class=""segment-display"">John told her</p>"," ","html-keyboard-response","168","2.1.0","175853","reading","1","lower_bound_some","John told her","5","other","true","2","","","",""
"569","<p class=""segment-display"">that he intended to host</p>"," ","html-keyboard-response","169","2.1.0","176422","reading","1","lower_bound_some","that he intended to host","6","other","true","2","","","",""
"688","<p class=""segment-display"">some of his relatives.</p>"," ","html-keyboard-response","170","2.1.0","177111","reading","1","lower_bound_some","some of his relatives.","7","trigger","true","2","","","",""
"null","","null","html-keyboard-response","171","2.1.0","178112","sentence_break","1","","","","","","","","","",""
"451","<p class=""segment-display"">The rest</p>"," ","html-keyboard-response","172","2.1.0","178564","reading","1","lower_bound_some","The rest","9","target","true","2","","","",""
"531","<p class=""segment-display"">would stay</p>"," ","html-keyboard-response","173","2.1.0","179095","reading","1","lower_bound_some","would stay","10","post_target","true","2","","","",""
"644","<p class=""segment-display"">in a nearby hotel.</p>"," ","html-keyboard-response","174","2.1.0","179740","reading","1","lower_bound_some","in a nearby hotel.","11","other","true","2","","","",""
